company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
EZ TEC - EZTC3,13.41,27493000,3329413000,Consumo Cíclico,Incorporações, 428718000, 246096000, 342110000, 452140000, 415030000,334391000,61.62,1.01,1.01,0.45,-0.96,-2.77,-3.83,8.42,8.42,5.15,7.26,10.04,9.95,4.99,21.74,1.83,7.32,5.92,17.26,9.14,10.51,23.40,9.96,0.65,8.10,19.22,-1.09,14.25,-1.36,0.62,0.50,0.89,0.66,1.06,2.33,7.75
YDUQS - YDUQ3,15.99,78754000,9060133000,Consumo Cíclico,Serviços Educacionais, 341206000, 154652000, -55441000, 158180000, 99730000,917499000,76.40,2.56,2.62,2.80,3.21,3.74,3.60,10.29,10.92,5.01,-1.98,4.88,3.11,10.39,10.74,1.11,14.47,7.24,42.54,-50.49,37.58,95.43,9.90,26.19,-11.99,-24.84,-999999,-15.54,-25.70,1.49,0.79,2.13,1.00,1.83,2.97,3.54
VULCABRAS - VULC3,20.69,16621000,5711829000,Consumo Cíclico,Calçados, 569867000, 494883000, 469930000, 313840000, 31550000,580489000,67.47,0.04,0.04,0.12,0.42,0.91,2.78,27.01,27.01,24.81,27.46,23.14,2.81,22.36,7.68,2.07,9.97,7.48,11.18,7.29,8.00,69.47,9.84,78.38,31.84,26.61,19.99,54.46,-999999,2.69,2.02,2.77,2.00,1.85,1.95,6.80
DEXCO - DXCO3,5.27,17338000,9050258000,Materiais Básicos,Madeira, 174375000, 811270000, 764928000, 1725690000, 453990000,936534000,136.45,2.19,2.19,1.72,1.71,0.92,1.09,2.47,2.47,12.33,12.87,30.09,8.75,5.70,8.50,0.21,25.08,28.37,8.39,7.36,6.47,28.60,9.66,-17.42,-15.54,13.44,32.83,131.01,18.81,0.62,0.70,1.03,0.95,1.95,2.50,1.03
UNIPAR CARBOCLORO - UNIP6,55.44,5585000,7067295000,Materiais Básicos,Químicos Diversos, 557118000, 791273000, 1334300000, 2005030000, 370210000,763429000,84.83,0.89,0.77,-0.06,-0.01,-0.81,-0.42,24.57,19.91,32.51,57.22,86.72,21.31,10.41,23.41,5.75,9.64,9.73,10.01,6.83,4.87,13.02,9.26,11.97,26.45,8.43,34.54,48.16,33.34,2.37,1.94,3.25,3.91,4.22,2.78,9.51
TUPY - TUPY3,19.30,25837000,5176734000,Bens Industriais,Material Rodoviário, 82440000, 517013000, 502220000, 202910000, -76210000,559667000,317.29,2.53,2.53,1.84,1.77,1.67,1.41,2.28,2.28,15.29,16.76,7.42,-2.98,4.64,24.22,0.55,35.00,43.34,8.25,7.70,14.09,-39.67,9.25,-999999,-21.63,13.73,26.77,-999999,-999999,0.80,0.99,1.26,1.29,1.04,1.18,7.83
BRASILAGRO - AGRO3,20.26,4311000,3671370000,Consumo não Cíclico,Agricultura, 280536000, 263578000, 142009000, 558550000, 110770000,399225000,51.61,3.33,2.66,2.42,1.42,-0.13,1.76,14.27,12.74,13.34,6.92,29.57,17.40,9.34,21.13,3.01,6.72,8.10,10.41,21.66,4.08,13.15,9.20,22.82,22.44,2.69,19.90,-999999,-11.73,0.96,1.03,1.39,1.50,1.21,2.29,7.65
AMBEV - ABEV3,14.26,483756000,207668877000,Consumo não Cíclico,Cervejas e Refrigerantes, 14846952000, 14960423000, 14891300000, 13122580000, 11731910000,22637012000,86.85,-0.57,-0.91,-0.51,-0.47,-0.69,-0.66,15.27,14.64,18.36,17.64,15.33,15.42,18.02,6.00,0.92,15.57,12.82,14.92,15.83,19.18,21.68,9.17,4.82,4.03,5.68,13.84,0.06,-1.85,2.38,1.88,2.74,2.79,2.94,3.34,5.57
SUZANO - SUZB3,52.08,269708000,140446988000,Materiais Básicos,Papel e Celulose, -7044706000, 14106381000, 23394890000, 8635530000, -10714940000,15397901000,-268.77,2.97,3.19,2.87,1.96,2.33,4.22,-2.47,-21.90,31.51,70.72,57.22,-148.30,9.09,30.38,-0.75,-69.39,-11.05,4.99,2.61,8.81,-6.90,9.12,-999999,-999999,113.44,66.88,38.54,-999999,1.71,2.42,1.57,1.84,5.04,10.23,4.03
QUALICORP - QUAL3,2.03,4934000,1565454000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", 15063000, -75410000, 101489000, 377300000, 395180000,185348000,0.00,1.69,1.69,2.11,1.98,1.47,0.63,0.51,0.51,-6.49,6.89,28.89,23.29,5.82,4.51,0.02,87.63,65.62,-11.71,17.96,13.12,25.34,8.45,-47.97,-47.91,-999999,-23.44,-2.15,10.41,0.45,0.34,0.76,1.24,3.79,5.90,0.00
DIRECIONAL ENGENHARIA - DIRR3,36.59,60269000,6366529000,Consumo Cíclico,Incorporações, 727668000, 386877000, 276553000, 208770000, 150120000,754979000,90.50,0.02,0.02,0.04,0.51,3.41,4.07,31.67,31.67,16.97,15.70,12.06,9.31,18.92,11.62,3.68,9.94,7.23,11.72,12.99,13.82,20.09,8.43,37.12,43.21,-999999,-999999,-999999,-0.79,3.15,2.29,1.99,2.04,1.67,1.87,8.93
CELULOSE IRANI - RANI3,7.84,4889000,2973503000,Materiais Básicos,Papel e Celulose, 304519000, 383434000, 378209000, 285320000, 92770000,352591000,52.81,2.01,2.11,1.54,1.09,0.73,1.00,22.84,22.28,29.96,33.62,29.80,11.80,8.07,5.89,1.35,5.83,5.37,6.83,5.10,5.80,13.93,8.43,28.31,-999999,163.63,-999999,-999999,184.81,1.33,1.20,2.05,1.72,1.73,1.64,8.14
TRISUL - TRIS3,6.92,3814000,1663342000,Consumo Cíclico,Incorporações, 174844000, 130195000, 69755000, 131970000, 183620000,200316000,54.21,1.65,1.65,3.66,4.20,1.46,0.32,11.76,11.76,9.20,5.38,9.87,14.65,7.26,7.82,0.92,7.53,4.80,8.74,9.45,9.21,13.44,8.30,-0.97,2.97,11.08,14.50,106.71,49.27,0.89,0.56,0.80,0.51,0.91,1.97,4.30
FLEURY - FLRY3,12.58,37538000,9921002000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", 603654000, 420823000, 308727000, 351500000, 256960000,1203702000,88.72,1.51,1.54,2.08,1.99,2.04,1.03,12.01,11.65,8.34,11.48,18.96,14.68,9.47,9.55,1.15,10.97,10.72,23.29,26.15,26.79,54.80,8.24,18.92,14.09,4.88,-0.75,8.97,19.07,1.32,1.25,1.94,3.00,5.08,8.04,8.17
ODONTOPREV - ODPV3,10.91,23781000,5653405000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", 539133000, 511590000, 451370000, 381350000, 359730000,687233000,144.20,-0.51,-0.51,-0.54,-0.39,-0.04,-1.38,43.92,43.92,36.87,38.14,34.09,30.04,37.71,2.22,0.98,11.18,11.13,12.55,11.03,16.64,20.24,8.23,8.43,13.61,12.39,-2.14,12.03,10.22,4.91,4.89,4.63,4.21,5.67,6.08,9.37
CONSTRUTORA TENDA - TEND3,19.07,37116000,2791607000,Consumo Cíclico,Incorporações, 100711000, -102510000, -555714000, -196590000, 199730000,341167000,0.00,1.08,1.00,3.92,-3.15,-1.99,-0.50,17.30,11.24,-11.15,-76.84,-15.91,13.20,14.78,8.80,1.52,12.52,14.39,-19.05,-0.95,-10.74,18.55,8.18,-2.83,-17.56,-999999,-999999,-999999,46.40,2.17,1.62,2.12,0.73,1.71,2.45,0.88
ENGIE BRASIL - EGIE3,38.95,52793000,52046311000,Utilidade Pública,Energia Elétrica, 4302841000, 3429060000, 2664567000, 1565190000, 2797270000,6484724000,41.30,2.66,2.25,2.04,2.23,2.52,1.89,27.84,37.98,38.70,31.57,19.72,36.14,14.55,14.81,4.12,9.45,6.77,10.78,11.61,20.04,12.82,8.03,4.25,13.24,8.17,5.86,0.22,13.25,2.63,2.57,4.17,3.66,3.95,4.63,5.91
ENERGISA - ENGI11,45.00,156868000,48574875000,Utilidade Pública,Energia Elétrica, 4636282000, 2583534000, 2428025000, 3068840000, 1607480000,6110922000,35.04,3.33,3.33,3.28,3.21,2.94,3.53,21.93,21.93,15.92,19.38,33.41,22.09,11.16,37.74,8.28,5.44,4.41,13.01,9.48,7.21,16.32,7.95,23.60,54.47,16.97,33.50,74.09,35.54,1.19,0.97,2.07,1.84,2.41,3.61,6.35
SLC AGRICOLA - SLCE3,18.77,52868000,11940127000,Consumo não Cíclico,Agricultura, 481723000, 937890000, 1336720000, 1130760000, 510950000,1513149000,72.23,2.01,2.01,1.29,0.87,1.45,0.88,12.74,12.74,18.18,27.56,30.13,16.62,15.43,9.02,1.15,16.34,15.23,9.32,7.46,7.77,10.29,7.89,-1.17,8.86,18.20,29.34,135.41,33.35,2.08,1.94,1.69,2.06,2.34,1.71,2.89
GRUPO SBF - SBFG3,11.77,12022000,4792629000,Consumo Cíclico,Produtos Diversos, 535834000, 168812000, 204606000, 497840000, -112810000,612094000,32.85,2.34,2.34,2.99,2.80,2.16,8.24,17.80,17.80,6.66,8.51,31.62,-7.18,10.12,12.34,2.20,5.36,4.88,16.92,15.21,12.51,-64.81,7.83,-999999,11.59,-999999,-999999,-999999,-999999,0.95,0.87,1.13,1.29,3.95,4.65,4.81
COGNA EDUCAÇÃO - COGN3,2.99,150886000,11063139000,Consumo Cíclico,Serviços Educacionais, 991631000, -511349000, -541001000, -512990000, -5805800000,1423218000,0.00,1.49,2.94,5.04,7.98,11.37,-1.25,7.90,7.10,-4.23,-4.34,-3.84,-43.95,5.76,6.63,0.52,5.71,2.32,-13.29,-7.52,-9.44,-1.50,7.77,-999999,32.52,-999999,-999999,-999999,-999999,0.45,0.17,0.56,0.33,0.36,0.66,2.25
MINERVA - BEEF3,5.18,133474000,18766908000,Consumo não Cíclico,Carnes e Derivados, -1563806000, 395533000, 655056000, 598880000, 697100000,2427875000,0.00,5.04,5.04,3.46,2.36,2.56,5.20,-325.66,-325.66,241.46,128.75,91.55,82.98,8.00,-0.79,-2.57,-2.02,-1.98,10.77,12.06,10.75,8.87,7.73,-999999,-999999,-999999,-999999,25.15,-999999,-6.57,-6.46,26.01,15.53,9.84,7.36,0.00
TIM - TIMS3,19.13,118309000,43990988000,Telecomunicações,Telecomunicações, 3153881000, 2836950000, 1670760000, 2957180000, 1843690000,5712760000,87.64,-0.18,-0.21,-0.11,0.02,1.29,0.65,14.03,11.94,10.90,6.58,11.78,1.82,20.33,10.10,1.42,13.49,11.11,15.30,17.97,10.76,84.01,7.70,13.23,-2.73,2.19,6.24,31.56,-2.30,1.89,1.33,1.67,1.18,1.27,1.53,8.45
PRIO - PRIO3,38.70,461986000,53128914000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição", 10301606000, 5179905000, 3427068000, 1333040000, 452910000,6945461000,0.00,1.95,1.95,0.78,-0.08,-0.25,0.95,39.74,39.74,37.32,34.64,20.14,14.37,6.21,28.92,11.49,3.37,3.49,7.97,9.73,13.90,27.79,7.65,86.80,74.54,90.79,132.13,40.72,32.62,1.34,1.39,2.97,3.37,2.80,3.99,0.00
VIVARA - VIVA3,21.58,77597000,5213025000,Consumo Cíclico,Acessórios, 653393000, 369244000, 360853000, 298490000, 146671000,683585000,13.48,0.14,0.14,-0.06,-0.18,0.79,1.48,26.17,26.17,19.10,21.76,21.43,12.52,22.67,10.57,2.77,7.80,6.96,21.91,14.68,20.13,47.44,7.63,34.82,20.43,-999999,-999999,-999999,-999999,2.04,1.82,4.18,3.20,4.31,5.94,3.13
RANDON - RAPT4,8.00,32101000,9428543000,Bens Industriais,Material Rodoviário, 691696000, 663489000, 666410000, 884710000, 833310000,1238944000,37.54,4.22,2.75,1.58,1.52,1.37,2.82,10.27,12.65,13.74,17.19,27.69,32.46,8.31,9.43,0.97,8.26,7.98,11.04,5.73,5.13,7.96,7.61,-7.02,18.14,23.94,44.79,-999999,-999999,0.85,1.01,1.52,0.99,1.42,2.58,4.89
JBS - JBSS3,41.77,435622000,177566501000,Consumo não Cíclico,Carnes e Derivados, 10703993000, -729145000, 16201265000, 20529660000, 4654940000,23783769000,69.20,2.39,2.39,4.61,8.01,1.65,1.63,21.47,21.47,-2.45,33.35,46.43,11.46,11.96,20.19,4.34,9.64,8.37,-52.08,3.16,4.11,11.41,7.47,18.12,10.88,-999999,73.67,105.14,-1.92,2.07,1.80,1.27,1.05,1.91,1.31,11.80
TAESA - TAEE11,35.33,65979000,21264820000,Utilidade Pública,Energia Elétrica, 1693242000, 1367734000, 1449206000, 2213720000, 2262930000,2865200000,58.40,3.13,3.13,3.57,2.88,1.80,1.67,24.40,24.40,24.00,22.06,33.12,37.55,16.11,20.14,4.92,7.19,6.69,8.25,8.24,5.66,5.07,7.42,-5.64,11.06,5.01,17.46,20.76,20.00,1.75,1.63,1.98,1.82,1.87,1.91,7.34
NEOENERGIA - NEOE3,22.03,30181000,71635953000,Utilidade Pública,Energia Elétrica, 3709000000, 4527000000, 4787000000, 4066000000, 2905000000,9901000000,28.71,3.51,3.55,3.09,3.10,3.34,3.33,10.38,11.14,14.94,17.64,16.43,13.27,10.42,27.85,2.89,7.62,6.31,5.81,3.97,5.01,7.61,7.24,4.20,9.94,23.22,60.35,62.91,50.84,0.79,0.70,0.87,0.70,0.82,1.01,3.46
MOVIDA - MOVI3,6.56,44316000,18576852000,Consumo Cíclico,Aluguel de carros, 231493000, -650847000, 556400000, 819440000, 109030000,2620072000,27.80,3.45,3.45,3.52,3.07,3.35,3.78,9.29,9.29,-25.81,20.10,24.95,4.62,11.06,6.88,0.64,10.27,5.54,-6.62,4.97,6.98,68.62,7.09,16.25,0.23,-999999,52.95,83.21,10.21,0.95,0.51,1.71,1.00,1.74,3.17,2.62
MILLS - MILS3,10.46,6234000,3551568000,Bens Industriais,Serviços Diversos, 285188000, 278213000, 216520000, 102320000, -4750000,508091000,49.59,1.49,1.49,0.64,0.36,-0.05,-0.70,19.71,19.71,19.05,17.50,9.40,-0.43,12.19,6.17,1.22,8.60,7.04,11.44,12.36,14.60,-303.20,6.99,-999999,-999999,-999999,-999999,-999999,-999999,1.69,1.39,2.18,2.16,1.37,1.31,5.66
COPASA - CSMG3,20.90,34218000,13240404000,Utilidade Pública,Água e Saneamento, 1316920000, 1379346000, 843362000, 537590000, 816480000,1994541000,67.24,1.89,1.89,1.44,1.52,1.68,1.54,16.36,16.36,18.21,11.63,7.95,12.65,11.57,21.17,3.46,6.03,6.01,5.65,7.07,8.99,7.63,6.64,10.03,11.79,18.97,8.52,4.37,-999999,0.99,0.98,1.03,0.82,0.71,0.97,7.78
JSL - JSLG3,6.61,3345000,7974521000,Bens Industriais,Transporte Rodoviário, 207312000, 351783000, 194160000, 272550000, 131310000,1210459000,58.10,3.34,3.34,3.22,4.99,3.94,2.56,11.71,11.71,20.99,13.74,20.46,16.95,11.64,6.18,0.72,9.13,7.47,10.14,8.13,7.96,17.16,6.59,9.56,-8.24,13.21,63.30,-999999,22.94,1.07,0.88,2.13,1.12,1.63,2.91,6.28
ALUPAR - ALUP11,28.78,28830000,18970668000,Utilidade Pública,Energia Elétrica, 1859906000, 1149502000, 1663873000, 2122820000, 2055520000,2892636000,41.15,2.99,2.99,3.58,2.99,2.09,1.31,13.18,13.18,9.44,13.20,17.03,16.38,13.41,25.00,3.29,8.73,7.71,13.84,9.01,6.31,8.43,6.56,-1.98,2.53,8.89,18.71,25.21,29.19,1.15,1.02,1.31,1.19,1.07,1.38,2.92
ECORODOVIAS - ECOR3,6.48,31801000,23640485000,Bens Industriais,Exploração de Rodovias, 913451000, 596632000, 234070000, 367270000, -423980000,3606756000,16.53,4.09,3.59,3.84,4.79,4.42,6.04,22.93,26.38,20.80,10.67,16.90,-808.15,10.62,5.13,1.18,5.51,3.27,11.52,12.61,13.86,-21.96,6.55,-999999,-999999,9.76,-9.82,-999999,-999999,1.26,0.86,2.40,1.35,2.34,177.46,2.91
GRENDENE - GRND3,5.22,18219000,3634322000,Consumo Cíclico,Calçados, 735236000, 557674000, 568027000, 601010000, 405210000,557564000,81.60,-1.69,-1.69,-2.22,-2.86,-2.31,-3.60,18.19,18.19,15.24,13.02,14.68,9.58,11.62,4.48,0.81,6.41,5.99,11.44,9.58,12.98,18.66,6.52,12.65,8.24,-0.97,-2.98,-1.06,-5.56,1.17,1.09,1.74,1.25,1.91,1.79,9.78
ELETROBRAS - ELET3,42.91,322482000,143910137000,Utilidade Pública,Energia Elétrica, 10380752000, 4394861000, 3638389000, 5713630000, 6387310000,22248904000,22.61,1.52,1.52,2.40,3.75,2.00,3.42,8.51,8.51,4.05,3.29,7.42,8.63,11.13,52.82,4.50,9.54,7.59,21.52,26.73,13.65,13.35,6.47,10.20,-0.69,-21.80,-999999,10.21,-999999,0.81,0.65,0.87,0.88,1.01,1.15,4.04
ATACADÃO - CARREFOUR - CRFB3,8.40,528038000,27473076000,Consumo não Cíclico,Alimentos, 1940000000, -639000000, 1998000000, 3366000000, 2844000000,4271000000,11.41,1.60,1.60,1.85,1.20,1.42,1.03,8.42,8.42,-4.14,8.58,18.57,17.03,8.38,9.87,0.83,10.11,6.53,-33.03,17.93,10.23,15.31,6.43,-7.37,7.87,-999999,3.13,-999999,-999999,0.85,0.55,1.37,1.54,1.90,2.61,1.13
CYRELA - CYRE3,25.54,138024000,12729346000,Consumo Cíclico,Incorporações, 1921052000, 1105700000, 858590000, 1017310000, 1829500000,1992797000,13.90,1.40,1.40,2.06,2.66,1.41,0.47,18.54,18.54,12.25,11.36,14.75,31.98,12.16,23.16,4.29,5.95,3.95,9.82,6.20,6.63,6.43,6.39,0.98,29.17,183.57,-999999,32.98,25.27,1.10,0.73,1.20,0.70,0.98,2.06,4.07
CPFL ENERGIA - CPFE3,37.57,59151000,68531482000,Utilidade Pública,Energia Elétrica, 5761554000, 5537161000, 5218810000, 4853750000, 3706990000,10830229000,58.14,1.93,1.93,1.63,1.69,2.14,1.93,26.33,26.33,29.28,31.37,31.35,26.14,17.17,17.99,4.74,7.93,6.67,8.03,7.50,6.51,10.29,6.33,9.22,15.96,20.65,33.23,40.74,33.47,2.09,1.76,2.35,2.35,2.04,2.69,7.33
